time,signal
0.0,-0.0325
0.01,-0.0196
0.02,0.0389
0.03,0.0385
0.04,0.0061
0.05,0.006
0.06,0.164
0.07,0.0262
0.08,0.1311
0.09,0.137
0.1,0.1559
0.11,0.2056
0.12,0.1005
0.13,0.1454
0.14,0.2599
0.15,0.1285
0.16,0.2395
0.17,0.2332
0.18,0.2193
0.19,0.3192
0.2,0.3745
0.21,0.2956
0.22,0.2898
0.23,0.4364
0.24,0.4364
0.25,0.372
0.26,0.356
0.27,0.3703
0.28,0.4476
0.29,0.4012
0.3,0.4813
0.31,0.5361
0.32,0.5545
0.33,0.4498
0.34,0.6096
0.35000000000000003,0.4966
0.36,0.5456
0.37,0.5422
0.38,0.499
0.39,0.6464
0.4,0.6273
0.41000000000000003,0.5759
0.42,0.5854
0.43,0.6971
0.44,0.6105
0.45,0.6063
0.46,0.7281
0.47000000000000003,0.7636
0.48,0.5929
0.49,0.6577
0.5,0.67
0.51,0.6977
0.52,0.7304
0.53,0.7533
0.54,0.8184
0.55,0.674
0.56,0.7145
0.5700000000000001,0.8172
0.58,0.7704
0.59,0.7639
0.6,0.7726
0.61,0.7791
0.62,0.7215
0.63,0.8305
0.64,0.9571
0.65,0.7601
0.66,0.9254
0.67,0.947
0.68,0.9041
0.6900000000000001,0.9362
0.7000000000000001,0.8827
0.71,0.7976
0.72,0.9351
0.73,0.9281
0.74,0.9265
0.75,0.9496
0.76,0.9756
0.77,0.8952
0.78,0.9086
0.79,0.989
0.8,1.0084
0.81,0.9463
0.8200000000000001,0.9566
0.8300000000000001,1.014
0.84,1.0086
0.85,0.9415
0.86,0.9784
0.87,1.0696
0.88,1.1053
0.89,1.0635
0.9,1.0149
0.91,1.0081
0.92,0.9871
0.93,0.9151
0.9400000000000001,0.9876
0.9500000000000001,1.0213
0.96,0.9814
0.97,0.9324
0.98,0.9052
0.99,0.98
1.0,1.0348
1.01,0.9847
1.02,1.0205
1.03,1.0253
1.04,0.9999
1.05,0.9999
1.06,1.0985
1.07,0.9593
1.08,0.995
1.09,1.0468
1.1,1.0862
1.11,0.9995
1.12,0.9625
1.1300000000000001,1.0172
1.1400000000000001,1.0137
1.1500000000000001,1.0198
1.16,0.9937
1.17,0.9722
1.18,0.8683
1.19,0.9674
1.2,1.0142
1.21,0.8476
1.22,0.9094
1.23,1.0173
1.24,0.9609
1.25,0.9559
1.26,0.9578
1.27,0.9539
1.28,0.8097
1.29,0.9764
1.3,0.8673
1.31,0.8722
1.32,0.9092
1.33,0.9492
1.34,0.8697
1.35,0.9186
1.36,0.8771
1.37,0.744
1.3800000000000001,0.8804
1.3900000000000001,0.7693
1.4000000000000001,0.7967
1.41,0.7652
1.42,0.7236
1.43,0.7442
1.44,0.8946
1.45,0.7539
1.46,0.778
1.47,0.7211
1.48,0.8183
1.49,0.6774
1.5,0.7361
1.51,0.7029
1.52,0.7122
1.53,0.7609
1.54,0.7793
1.55,0.6849
1.56,0.5658
1.57,0.6264
1.58,0.5192
1.59,0.6178
1.6,0.5911
1.61,0.5034
1.62,0.5007
1.6300000000000001,0.5698
1.6400000000000001,0.4994
1.6500000000000001,0.4627
1.6600000000000001,0.514
1.67,0.5306
1.68,0.4266
1.69,0.5132
1.7,0.4846
1.71,0.3842
1.72,0.3877
1.73,0.4793
1.74,0.558
1.75,0.4264
1.76,0.4481
1.77,0.3918
1.78,0.3772
1.79,0.2394
1.8,0.2885
1.81,0.3742
1.82,0.2612
1.83,0.239
1.84,0.2354
1.85,0.2525
1.86,0.2153
1.87,0.2353
1.8800000000000001,0.2157
1.8900000000000001,0.2627
1.9000000000000001,0.1258
1.9100000000000001,0.1991
1.92,0.1144
1.93,0.1112
1.94,0.1518
1.95,0.0707
1.96,0.0333
1.97,0.088
1.98,-0.0033
1.99,0.1108
2.0,0.0199
2.0100000000000002,-0.0345
2.02,-0.001
2.0300000000000002,0.0685
2.04,-0.0897
2.05,-0.0453
2.06,-0.0921
2.07,-0.191
2.08,-0.1036
2.09,-0.0821
2.1,-0.243
2.11,-0.134
2.12,-0.1175
2.13,-0.1231
2.14,-0.1857
2.15,-0.3101
2.16,-0.1689
2.17,-0.3221
2.18,-0.3752
2.19,-0.1985
2.2,-0.3623
2.21,-0.3307
2.22,-0.3163
2.23,-0.3796
2.24,-0.408
2.25,-0.2688
2.2600000000000002,-0.3277
2.27,-0.4172
2.2800000000000002,-0.334
2.29,-0.4128
2.3000000000000003,-0.4955
2.31,-0.3694
2.32,-0.4603
2.33,-0.533
2.34,-0.5807
2.35,-0.4255
2.36,-0.5414
2.37,-0.4486
2.38,-0.4246
2.39,-0.6637
2.4,-0.5264
2.41,-0.5159
2.42,-0.6308
2.43,-0.663
2.44,-0.5432
2.45,-0.7134
2.46,-0.7058
2.47,-0.6639
2.48,-0.6908
2.49,-0.6813
2.5,-0.6777
2.5100000000000002,-0.6617
2.52,-0.7868
2.5300000000000002,-0.6867
2.54,-0.7934
2.5500000000000003,-0.7593
2.56,-0.6818
2.57,-0.7324
2.58,-0.6512
2.59,-0.7815
2.6,-0.7746
2.61,-0.8108
2.62,-0.8274
2.63,-0.7922
2.64,-0.8895
2.65,-0.8763
2.66,-0.8697
2.67,-0.9123
2.68,-0.8276
2.69,-0.8759
2.7,-0.8751
2.71,-0.8806
2.72,-0.8625
2.73,-0.7616
2.74,-0.8463
2.75,-0.8946
2.7600000000000002,-0.8574
2.77,-0.8757
2.7800000000000002,-0.8569
2.79,-0.9182
2.8000000000000003,-0.9693
2.81,-0.9002
2.82,-0.9112
2.83,-1.0135
2.84,-0.9874
2.85,-0.917
2.86,-0.9241
2.87,-0.941
2.88,-1.0284
2.89,-0.9793
2.9,-0.9598
2.91,-1.0248
2.92,-0.974
2.93,-0.9415
2.94,-0.9607
2.95,-1.0291
2.96,-1.0249
2.97,-0.9359
2.98,-0.9832
2.99,-0.9614
3.0,-1.0103
3.0100000000000002,-1.0186
3.02,-1.0342
3.0300000000000002,-0.9805
3.04,-0.9962
3.0500000000000003,-1.0766
3.06,-0.9551
3.0700000000000003,-0.974
3.08,-0.9344
3.09,-0.9445
3.1,-1.0481
3.11,-0.9878
3.12,-0.9566
3.13,-0.8675
3.14,-0.9647
3.15,-0.9001
3.16,-0.9396
3.17,-0.8308
3.18,-0.954
3.19,-1.0054
3.2,-0.8966
3.21,-0.9168
3.22,-0.8286
3.23,-0.9921
3.24,-0.9171
3.25,-0.9571
3.2600000000000002,-0.8714
3.27,-0.8614
3.2800000000000002,-0.9595
3.29,-0.9062
3.3000000000000003,-0.9324
3.31,-0.8279
3.3200000000000003,-0.861
3.33,-0.8809
3.34,-0.8521
3.35,-0.758
3.36,-0.8716
3.37,-0.759
3.38,-0.735
3.39,-0.7594
3.4,-0.7831
3.41,-0.798
3.42,-0.739
3.43,-0.7803
3.44,-0.775
3.45,-0.6957
3.46,-0.7153
3.47,-0.6445
3.48,-0.6948
3.49,-0.7406
3.5,-0.6468
3.5100000000000002,-0.6193
3.52,-0.637
3.5300000000000002,-0.7329
3.54,-0.6612
3.5500000000000003,-0.6145
3.56,-0.6583
3.5700000000000003,-0.6728
3.58,-0.6705
3.59,-0.6279
3.6,-0.5435
3.61,-0.5903
3.62,-0.4719
3.63,-0.5391
3.64,-0.4372
3.65,-0.4844
3.66,-0.5047
3.67,-0.5216
3.68,-0.4615
3.69,-0.4677
3.7,-0.3799
3.71,-0.4784
3.72,-0.4025
3.73,-0.3875
3.74,-0.3856
3.75,-0.3762
3.7600000000000002,-0.3765
3.77,-0.3555
3.7800000000000002,-0.3207
3.79,-0.2959
3.8000000000000003,-0.2827
3.81,-0.2486
3.8200000000000003,-0.2857
3.83,-0.1887
3.84,-0.2417
3.85,-0.2597
3.86,-0.2592
3.87,-0.1706
3.88,-0.1426
3.89,-0.164
3.9,-0.0592
3.91,-0.2068
3.92,-0.0446
3.93,-0.0868
3.94,-0.1476
3.95,-0.1222
3.96,-0.0673
3.97,-0.0914
3.98,0.0305
3.99,0.0333
4.0,0.0605
4.01,0.0765
4.0200000000000005,0.1479
4.03,0.0966
4.04,0.1212
4.05,-0.0257
4.0600000000000005,0.0744
4.07,0.1798
4.08,0.137
4.09,0.1361
4.1,0.2087
4.11,0.1625
4.12,0.1799
4.13,0.1585
4.14,0.2499
4.15,0.2675
4.16,0.228
4.17,0.2651
4.18,0.3095
4.19,0.2808
4.2,0.4175
4.21,0.3587
4.22,0.4186
4.23,0.3905
4.24,0.3972
4.25,0.437
4.26,0.4702
4.2700000000000005,0.4456
4.28,0.5252
4.29,0.5422
4.3,0.4904
4.3100000000000005,0.4177
4.32,0.5128
4.33,0.5319
4.34,0.6402
4.3500000000000005,0.5706
4.36,0.5159
4.37,0.5972
4.38,0.5551
4.39,0.6324
4.4,0.5723
4.41,0.6574
4.42,0.7828
4.43,0.6627
4.44,0.6301
4.45,0.7834
4.46,0.6329
4.47,0.732
4.48,0.8321
4.49,0.7054
4.5,0.7096
4.51,0.7184
4.5200000000000005,0.727
4.53,0.7028
4.54,0.7209
4.55,0.6899
4.5600000000000005,0.8307
4.57,0.8002
4.58,0.7932
4.59,0.7985
4.6000000000000005,0.9114
4.61,0.9081
4.62,0.821
4.63,0.895
4.64,0.8521
4.65,0.9047
4.66,0.8938
4.67,0.8135
4.68,0.9021
4.69,0.9103
4.7,0.9236
4.71,0.8819
4.72,0.9132
4.73,0.9824
4.74,0.981
4.75,0.8498
4.76,0.953
4.7700000000000005,1.0134
4.78,0.9487
4.79,0.9422
4.8,0.9977
4.8100000000000005,1.0382
4.82,1.0388
4.83,1.0128
4.84,0.9587
4.8500000000000005,1.0573
4.86,0.9809
4.87,0.9004
4.88,0.9911
4.89,0.9529
4.9,1.071
4.91,1.0601
4.92,0.9501
4.93,1.0851
4.94,1.1054
4.95,1.0322
4.96,1.0743
4.97,1.052
4.98,1.0813
4.99,1.0387
5.0,1.0371
5.01,1.0551
5.0200000000000005,1.0444
5.03,0.9522
5.04,0.9427
5.05,0.9737
5.0600000000000005,1.1743
5.07,1.0931
5.08,0.9903
5.09,0.9744
5.1000000000000005,1.0481
5.11,1.0069
5.12,0.9839
5.13,1.0612
5.14,1.0348
5.15,0.9343
5.16,1.0657
5.17,1.0819
5.18,1.0044
5.19,1.039
5.2,0.9882
5.21,1.0064
5.22,1.0493
5.23,0.9553
5.24,0.928
5.25,1.0055
5.26,1.0152
5.2700000000000005,1.006
5.28,0.9239
5.29,0.9843
5.3,0.9145
5.3100000000000005,0.9738
5.32,0.905
5.33,0.8336
5.34,0.8925
5.3500000000000005,0.8297
5.36,0.8552
5.37,0.8129
5.38,0.7995
5.39,0.8316
5.4,0.8292
5.41,0.8405
5.42,0.7821
5.43,0.8208
5.44,0.7589
5.45,0.8458
5.46,0.7541
5.47,0.7721
5.48,0.8235
5.49,0.7587
5.5,0.7926
5.51,0.6865
5.5200000000000005,0.6294
5.53,0.6458
5.54,0.5868
5.55,0.8266
5.5600000000000005,0.7188
5.57,0.6088
5.58,0.6307
5.59,0.65
5.6000000000000005,0.6024
5.61,0.6493
5.62,0.5987
5.63,0.5051
5.64,0.6544
5.65,0.5273
5.66,0.5387
5.67,0.5126
5.68,0.4996
5.69,0.4834
5.7,0.4512
