time,signal
0,36.79
60,36.75
120,36.74
180,36.81
240,36.67
300,36.61
360,36.65
420,36.69
480,36.63
540,36.74
600,36.65
660,36.63
720,36.62
780,36.7
840,36.78
900,36.63
960,36.71
1020,36.63
1080,36.7
1140,36.66
1200,36.63
1260,36.68
1320,36.65
1380,36.7
1440,36.63
1500,36.73
1560,36.69
1620,36.67
1680,36.76
1740,36.67
1800,36.71
1860,36.73
1920,36.68
1980,36.74
2040,36.55
2100,36.65
2160,36.64
2220,36.66
2280,36.67
2340,36.7
2400,36.67
2460,36.68
2520,36.74
2580,36.71
2640,36.63
2700,36.71
2760,36.69
2820,36.67
2880,36.67
2940,36.68
3000,36.69
3060,36.73
3120,36.59
3180,36.73
3240,36.64
3300,36.76
3360,36.64
3420,36.67
3480,36.7
3540,36.69
3600,36.66
3660,36.66
3720,36.7
3780,36.67
3840,36.64
3900,36.67
3960,36.7
4020,36.67
4080,36.71
4140,36.72
4200,36.62
4260,36.68
4320,36.69
4380,36.69
4440,36.77
4500,36.71
4560,36.68
4620,36.69
4680,36.7
4740,36.69
4800,36.66
4860,36.71
4920,36.66
4980,36.55
5040,36.77
5100,36.75
5160,36.74
5220,36.62
5280,36.62
5340,36.64
5400,36.72
5460,36.73
5520,36.73
5580,36.79
5640,36.71
5700,36.63
5760,36.65
5820,36.72
5880,36.73
5940,36.81
6000,36.59
6060,36.61
6120,36.74
6180,36.87
6240,36.72
6300,36.58
6360,36.7
6420,36.77
6480,36.65
6540,36.66
6600,36.63
6660,36.71
6720,36.71
6780,36.75
6840,36.72
6900,36.79
6960,36.75
7020,36.79
7080,36.79
7140,36.84
7200,36.73
7260,36.77
7320,36.76
7380,36.8
7440,36.82
7500,36.76
7560,36.77
7620,36.74
7680,36.73
7740,36.73
7800,36.78
7860,36.75
7920,36.82
7980,36.79
8040,36.8
8100,36.68
8160,36.81
8220,36.83
8280,36.76
8340,36.78
8400,36.89
8460,36.72
8520,36.69
8580,36.73
8640,36.78
8700,36.75
8760,36.82
8820,36.74
8880,36.82
8940,36.71
9000,36.77
9060,36.75
9120,36.76
9180,36.71
9240,36.71
9300,36.65
9360,36.79
9420,36.85
9480,36.73
9540,36.78
9600,36.72
9660,36.69
9720,36.76
9780,36.74
9840,36.69
9900,36.63
9960,36.68
10020,36.64
10080,36.64
10140,36.75
10200,36.7
10260,36.65
10320,36.71
10380,36.71
10440,36.65
10500,36.69
10560,36.66
10620,36.71
10680,36.62
10740,36.72
10800,36.69
10860,36.76
10920,36.67
10980,36.7
11040,36.73
11100,36.72
11160,36.78
11220,36.68
11280,36.65
11340,36.69
11400,36.72
11460,36.69
11520,36.7
11580,36.81
11640,36.78
11700,36.71
11760,36.7
11820,36.83
11880,36.77
11940,36.77
12000,36.77
12060,36.7
12120,36.67
12180,36.69
12240,36.82
12300,36.69
