,time,signal
0,0,36.77
1,60,36.84
2,120,36.81
3,180,36.79
4,240,36.85
5,300,36.81
6,360,36.82
7,420,36.77
8,480,36.71
9,540,36.68
10,600,36.66
11,660,36.64
12,720,36.67
13,780,36.65
14,840,36.69
15,900,36.78
16,960,36.86
17,1020,36.88
18,1080,36.89
19,1140,36.93
20,1200,36.93
21,1260,36.9
22,1320,36.87
23,1380,36.9
24,1440,36.93
25,1500,36.95
26,1560,36.95
27,1620,36.9
28,1680,36.88
29,1740,36.92
30,1800,37.02
31,1860,37.06
32,1920,37.05
33,1980,37.02
34,2040,36.96
35,2100,36.92
36,2160,37.03
37,2220,37.05
38,2280,37.03
39,2340,37.03
40,2400,37.0
41,2460,37.04
42,2520,37.03
43,2580,37.03
44,2640,37.1
45,2700,37.16
46,2760,37.19
47,2820,37.16
48,2880,37.12
49,2940,37.12
50,3000,37.12
51,3060,37.1
52,3120,37.13
53,3180,37.11
54,3240,37.06
55,3300,36.96
56,3360,37.03
57,3420,37.04
58,3480,37.05
59,3540,37.06
60,3600,37.12
61,3660,37.13
62,3720,37.08
63,3780,37.12
64,3840,36.97
65,3900,36.89
66,3960,36.85
67,4020,36.86
68,4080,36.89
69,4140,36.8
70,4200,36.8
71,4260,36.81
72,4320,36.76
73,4380,36.76
74,4440,36.79
75,4500,36.76
76,4560,36.71
77,4620,36.72
78,4680,36.8
79,4740,36.76
80,4800,36.73
81,4860,36.67
82,4920,36.69
83,4980,36.67
84,5040,36.74
85,5100,36.76
86,5160,36.8
87,5220,36.78
88,5280,36.76
89,5340,36.77
90,5400,36.73
91,5460,36.73
92,5520,36.68
93,5580,36.7
94,5640,36.64
95,5700,36.61
96,5760,36.57
97,5820,36.57
98,5880,36.57
99,5940,36.64
100,6000,36.61
101,6060,36.56
102,6120,36.55
103,6180,36.58
104,6240,36.58
105,6300,36.56
106,6360,36.5
107,6420,36.48
108,6480,36.47
109,6540,36.43
110,6600,36.42
111,6660,36.43
112,6720,36.39
113,6780,36.5
114,6840,36.38
115,6900,36.42
116,6960,36.47
117,7020,36.56
118,7080,36.6
119,7140,36.58
120,7200,36.64
121,7260,36.65
122,7320,36.63
123,7380,36.61
124,7440,36.58
125,7500,36.6
126,7560,36.59
127,7620,36.71
128,7680,36.72
129,7740,36.77
130,7800,36.74
131,7860,36.78
132,7920,36.81
133,7980,36.8
134,8040,36.85
135,8100,36.9
136,8160,36.89
137,8220,36.87
138,8280,36.9
139,8340,37.01
140,8400,37.0
141,8460,37.1
142,8520,37.16
143,8580,37.2
144,8640,37.13
145,8700,37.09
146,8760,37.08
147,8820,37.08
148,8880,37.04
149,8940,36.98
150,9000,36.98
151,9060,36.99
152,9120,36.98
153,9180,36.96
154,9240,36.89
155,9300,36.87
156,9360,36.91
157,9420,36.96
158,9480,36.84
159,9540,36.76
160,9600,36.69
161,9660,36.7
162,9720,36.75
163,9780,36.81
164,9840,36.8
165,9900,36.77
166,9960,36.71
167,10020,36.71
168,10080,36.74
169,10140,36.75
170,10200,36.8
171,10260,36.72
172,10320,36.74
173,10380,36.76
174,10440,36.8
175,10500,36.79
176,10560,36.82
177,10620,36.85
178,10680,36.84
179,10740,36.88
180,10800,36.88
181,10860,36.85
182,10920,36.8
183,10980,36.77
184,11040,36.74
185,11100,36.76
186,11160,36.82
187,11220,36.78
188,11280,36.76
189,11340,36.71
190,11400,36.76
191,11460,36.72
192,11520,36.62
193,11580,36.65
194,11640,36.64
195,11700,36.58
